AÑO,ALCALDIA,POBLACION,MEAN_DIST,EST_TOTAL,ZOC_DIST
1996,Tláhuac,267814.8,1655.903901,0,13042.9866
1997,Tláhuac,278057.6,1655.903901,0,13042.9866
1998,Tláhuac,288300.4,1655.903901,0,13042.9866
1999,Tláhuac,298543.2,1655.903901,0,13042.9866
2000,Tláhuac,308786,1655.903901,0,13042.9866
2001,Tláhuac,315850,1655.903901,0,13042.9866
2002,Tláhuac,322914,1655.903901,0,13042.9866
2003,Tláhuac,329978,1655.903901,0,13042.9866
2004,Tláhuac,337042,1655.903901,0,13042.9866
2005,Tláhuac,344106,1655.903901,0,13042.9866
2006,Tláhuac,347337.8,1655.903901,0,13042.9866
2007,Tláhuac,350569.6,1655.903901,0,13042.9866
2008,Tláhuac,353801.4,1650.913611,0,13042.9866
2009,Tláhuac,357033.2,1650.913611,0,13042.9866
2010,Tláhuac,360265,1650.913611,0,13042.9866
2011,Tláhuac,361130.6,1650.913611,0,13042.9866
2012,Tláhuac,361996.2,900.9249377,5,13042.9866
2013,Tláhuac,362861.8,900.9249377,5,13042.9866
2014,Tláhuac,363727.4,900.9249377,5,13042.9866
2015,Tláhuac,364593,900.9249377,5,13042.9866
2016,Tláhuac,370137,900.9249377,5,13042.9866
2017,Tláhuac,375681,900.9249377,5,13042.9866
2018,Tláhuac,381225,900.9249377,5,13042.9866
2019,Tláhuac,386769,900.9249377,5,13042.9866
2020,Tláhuac,392313,900.9249377,5,13042.9866
2021,Tláhuac,397857,874.3731384,5,13042.9866
1969,Xochimilco,106394.2,3611.130013,0,17696.67227
1970,Xochimilco,116493,3376.415509,0,17696.67227
1971,Xochimilco,126591.8,3376.415509,0,17696.67227
1972,Xochimilco,136690.6,3376.415509,0,17696.67227
1973,Xochimilco,146789.4,3376.415509,0,17696.67227
1974,Xochimilco,156888.2,3376.415509,0,17696.67227
1975,Xochimilco,166987,3376.415509,0,17696.67227
1976,Xochimilco,177085.8,3376.415509,0,17696.67227
1977,Xochimilco,187184.6,3376.415509,0,17696.67227
1978,Xochimilco,197283.4,3376.415509,0,17696.67227
1979,Xochimilco,207382.2,3376.415509,0,17696.67227
1980,Xochimilco,217481,3376.415509,0,17696.67227
1981,Xochimilco,222246,3235.887493,0,17696.67227
1982,Xochimilco,227011,3185.316697,0,17696.67227
1983,Xochimilco,231776,3185.316697,0,17696.67227
1984,Xochimilco,236541,3185.316697,0,17696.67227
1985,Xochimilco,241306,3185.316697,0,17696.67227
1986,Xochimilco,246071,3185.316697,0,17696.67227
1987,Xochimilco,250836,3076.643598,0,17696.67227
1988,Xochimilco,255601,3076.643598,0,17696.67227
1989,Xochimilco,260366,3076.643598,0,17696.67227
1990,Xochimilco,265131,3076.643598,0,17696.67227
1991,Xochimilco,277562.8,2535.129111,0,17696.67227
1992,Xochimilco,289994.6,2535.129111,0,17696.67227
1993,Xochimilco,302426.4,2535.129111,0,17696.67227
1994,Xochimilco,314858.2,2036.59055,0,17696.67227
1995,Xochimilco,327290,2036.59055,0,17696.67227
1996,Xochimilco,333476.6,2036.59055,0,17696.67227
1997,Xochimilco,339663.2,2036.59055,0,17696.67227
1998,Xochimilco,345849.8,2036.59055,0,17696.67227
1999,Xochimilco,352036.4,2036.59055,0,17696.67227
2000,Xochimilco,358223,2036.59055,0,17696.67227
2001,Xochimilco,367470,2036.59055,0,17696.67227
2002,Xochimilco,376717,2036.59055,0,17696.67227
2003,Xochimilco,385964,2036.59055,0,17696.67227
2004,Xochimilco,395211,2036.59055,0,17696.67227
2005,Xochimilco,404458,2036.59055,0,17696.67227
2006,Xochimilco,406567.8,2036.59055,0,17696.67227
2007,Xochimilco,408677.6,2036.59055,0,17696.67227
2008,Xochimilco,410787.4,2036.25654,0,17696.67227
2009,Xochimilco,412897.2,2036.25654,0,17696.67227
2010,Xochimilco,415007,2036.25654,0,17696.67227
2011,Xochimilco,415192.2,2036.25654,0,17696.67227
2012,Xochimilco,415377.4,1421.758201,0,17696.67227
2013,Xochimilco,415562.6,1421.758201,0,17696.67227
2014,Xochimilco,415747.8,1421.758201,0,17696.67227
2015,Xochimilco,415933,1421.758201,0,17696.67227
2016,Xochimilco,421182,1421.758201,0,17696.67227
2017,Xochimilco,426431,1421.758201,0,17696.67227
2018,Xochimilco,431680,1421.758201,0,17696.67227
2019,Xochimilco,436929,1421.758201,0,17696.67227
2020,Xochimilco,442178,1266.262012,0,17696.67227
2021,Xochimilco,447427,937.3923263,4,17696.67227
1969,Benito Juárez,695660.1,846.9420666,0,2972.01485
1970,Benito Juárez,681953,532.4563988,5,2972.01485
1971,Benito Juárez,668245.9,532.4563988,5,2972.01485
1972,Benito Juárez,654538.8,532.4563988,5,2972.01485
1973,Benito Juárez,640831.7,532.4563988,5,2972.01485
1974,Benito Juárez,627124.6,532.4563988,5,2972.01485
1975,Benito Juárez,613417.5,532.4563988,5,2972.01485
1976,Benito Juárez,599710.4,532.4563988,5,2972.01485
1977,Benito Juárez,586003.3,532.4563988,5,2972.01485
1978,Benito Juárez,572296.2,532.4563988,5,2972.01485
1979,Benito Juárez,558589.1,532.4563988,5,2972.01485
1980,Benito Juárez,544882,408.2853513,9,2972.01485
1981,Benito Juárez,531174.9,408.2853513,9,2972.01485
1982,Benito Juárez,517467.8,408.2853513,9,2972.01485
1983,Benito Juárez,503760.7,361.7821663,10,2972.01485
1984,Benito Juárez,490053.6,361.7821663,10,2972.01485
1985,Benito Juárez,476346.5,334.0145734,13,2972.01485
1986,Benito Juárez,462639.4,334.0145734,13,2972.01485
1987,Benito Juárez,448932.3,317.6557399,13,2972.01485
1988,Benito Juárez,435225.2,303.7629453,13,2972.01485
1989,Benito Juárez,421518.1,303.7629453,13,2972.01485
1990,Benito Juárez,407811,303.7629453,13,2972.01485
1991,Benito Juárez,400240,303.7629453,13,2972.01485
1992,Benito Juárez,392669,303.7629453,13,2972.01485
1993,Benito Juárez,385098,303.7629453,13,2972.01485
1994,Benito Juárez,377527,303.7479439,13,2972.01485
1995,Benito Juárez,369956,303.7479439,13,2972.01485
1996,Benito Juárez,368060.4,303.7479439,13,2972.01485
1997,Benito Juárez,366164.8,303.7479439,13,2972.01485
1998,Benito Juárez,364269.2,303.7479439,13,2972.01485
1999,Benito Juárez,362373.6,303.7479439,13,2972.01485
2000,Benito Juárez,360478,303.7479439,13,2972.01485
2001,Benito Juárez,359385.8,303.7479439,13,2972.01485
2002,Benito Juárez,358293.6,303.7479439,13,2972.01485
2003,Benito Juárez,357201.4,303.7479439,13,2972.01485
2004,Benito Juárez,356109.2,303.7479439,13,2972.01485
2005,Benito Juárez,355017,265.3094622,23,2972.01485
2006,Benito Juárez,361101.4,265.3094622,23,2972.01485
2007,Benito Juárez,367185.8,265.3094622,23,2972.01485
2008,Benito Juárez,373270.2,206.4026609,30,2972.01485
